time,rainfall,inflow,reservoir_level,release,downstream_flow
0,78,66.77537597049115,56.67753759704912,0.0,66.77537597049115
1,130,142.21468136104505,70.89900573315363,0.0,142.21468136104505
2,142,134.64453179122452,81.67056827645159,26.928906358244905,161.57343814946944
3,27,31.24815199352229,84.17042043593338,6.249630398704458,37.497782392226746
4,37,23.45343051572111,86.04669487719107,4.690686103144222,28.144116618865333
5,66,79.4659072954545,90.0199902419638,39.73295364772725,119.19886094318176
6,46,61.36682555446105,93.08833151968685,30.683412777230526,92.05023833169157
7,61,39.13850325304112,95.0452566823389,19.56925162652056,58.70775487956168
8,120,133.78878392418977,97.7210323608227,107.03102713935182,240.81981106354158
9,159,182.32892879283162,100.0,145.8631430342653,328.1920718270969
10,96,120.45705704931817,100.0,96.36564563945454,216.82270268877272
11,145,206.48008137679082,100.0,165.18406510143268,371.66414647822353
12,55,51.17673524162442,100.0,40.94138819329954,92.11812343492396
13,3,2.0351240723288084,100.0,1.6280992578630469,3.6632233301918555
14,177,259.578350944158,100.0,207.6626807553264,467.2410316994844
15,150,165.10583466335115,100.0,132.08466773068093,297.1905023940321
16,167,114.99579796687732,100.0,91.99663837350187,206.9924363403792
17,128,190.09594927145966,100.0,152.07675941716772,342.1727086886274
18,98,50.4914562392571,100.0,40.39316499140568,90.88462123066279
19,53,47.98727501174881,100.0,38.389820009399045,86.37709502114785
20,64,69.2880669625375,100.0,55.430453570030004,124.71852053256751
21,157,127.07030523841877,100.0,101.65624419073502,228.7265494291538
22,126,74.51751570072301,100.0,59.61401256057841,134.1315282613014
23,71,93.02857310351999,100.0,74.422858482816,167.45143158633599
24,92,114.78657244133944,100.0,91.82925795307156,206.615830394411
25,173,170.99447179133116,100.0,136.79557743306495,307.7900492243961
26,21,19.22828459694719,100.0,15.382627677557753,34.61091227450494
27,134,192.45421642947463,100.0,153.9633731435797,346.41758957305433
28,9,10.654874725568211,100.0,8.523899780454569,19.17877450602278
29,58,67.24204258395775,100.0,53.79363406716621,121.03567665112396
30,23,19.682843208230747,100.0,15.746274566584598,35.429117774815346
31,13,12.0892834536065,100.0,9.6714267628852,21.760710216491702
32,122,111.02259941316521,100.0,88.81807953053217,199.84067894369738
33,87,96.44521408864067,100.0,77.15617127091254,173.6013853595532
34,98,78.46254414760365,100.0,62.770035318082925,141.23257946568657
35,110,143.72538054091132,100.0,114.98030443272906,258.70568497364036
36,172,188.68399000741903,100.0,150.94719200593522,339.63118201335425
37,184,141.73012431599528,100.0,113.38409945279624,255.11422376879153
38,179,262.7724566750641,100.0,210.2179653400513,472.9904220151154
39,7,5.074520464322547,100.0,4.059616371458038,9.134136835780584
40,57,35.43266106912448,100.0,28.346128855299582,63.77878992442406
41,36,47.16424731775116,100.0,37.73139785420093,84.89564517195208
42,123,79.28926709927089,100.0,63.431413679416714,142.7206807786876
43,61,74.3989531658803,100.0,59.51916253270424,133.91811569858453
44,65,47.66470179791112,100.0,38.1317614383289,85.79646323624002
45,67,94.78739706776608,100.0,75.82991765421286,170.61731472197894
46,24,32.724409215615545,100.0,26.179527372492437,58.90393658810798
47,158,109.61147851722146,100.0,87.68918281377717,197.30066133099862
48,74,58.27059008328391,100.0,46.61647206662713,104.88706214991105
49,48,64.56302772023275,100.0,51.650422176186204,116.21344989641895
50,48,44.847301985903535,100.0,35.87784158872283,80.72514357462637
51,25,33.76066280752034,100.0,27.008530246016274,60.76919305353661
52,190,135.1713894824581,100.0,108.13711158596648,243.30850106842456
53,50,71.00945756326243,100.0,56.80756605060995,127.81702361387238
54,125,180.93651033245274,100.0,144.7492082659622,325.68571859841495
55,187,194.47149954818684,100.0,155.57719963854947,350.0486991867363
56,100,149.53635081594035,100.0,119.6290806527523,269.16543146869265
57,179,128.61960209450456,100.0,102.89568167560365,231.51528377010823
58,32,34.769814801692284,100.0,27.81585184135383,62.58566664304611
59,3,2.2168284878785416,100.0,1.7734627903028333,3.990291278181375
60,120,168.0600250213303,100.0,134.44802001706424,302.5080450383945
61,198,215.79204958917046,100.0,172.63363967133637,388.42568926050683
62,49,47.87734717887361,100.0,38.30187774309889,86.1792249219725
63,187,251.47717970046818,100.0,201.18174376037456,452.65892346084274
64,137,121.91023463233121,100.0,97.52818770586498,219.43842233819618
65,163,136.9214299777242,100.0,109.53714398217936,246.45857395990356
66,52,60.20587840838514,100.0,48.164702726708114,108.37058113509326
67,0,0.0,100.0,0.0,0.0
